Name,Address,Zipcode,,Phone_number,Email,Description
ADRIC,"7 rue du Jura
",75013,PARIS,01 43 36 89 23,adric@adric.eu,Accompagnement accueil et information : Non Accompagnement juridique : NonFormation des professionnels : Oui Hébergement : NonTéléphone d'écoute ou Grand Danger : Non. L’association intervient sur tous types de violences
Alliance des Femmes,35 rue Jacob,75006,PARIS,01 42 60 22 68,alliance.des.femmes@orange.fr,"L'Alliance des Femmes, issue du Mouvement de Libération des Femmes (1989), pour faire advenir une démocratie paritaire, agit notamment contre les violences réelles et symboliques faites aux femmes."
AMI AMI-Médiation,4 villa George SAND,75016,PARIS,01 40 50 05 06,boccara_avocats_mediateurs@msn.com,L'AMI est un centre de médiation juridique composé d'avocats médiateurs intervenant au soutien des femmes victimes de harcèlement moral ou sexuel notamment dans le milieu professionnel.
Amicale du Nid - AdN,21 rue du château,75010,PARIS,01 44 52 56 40,contact@adn-asso.or,Accompagnement accueil et information : Oui Accompagnement juridique : OuiFormation des professionnels : Oui Hébergement : OuiTéléphone d'écoute ou Grand Danger : Non
Amnesty International,76 boulevard de la villette ,75019,PARIS,01 53 38 65 17,comfemmes@amnesty.fr,Accompagnement accueil et information : Non Accompagnement juridique : NonFormation des professionnels : Non Hébergement : NonTéléphone d'écoute ou Grand Danger : Non
Association contre le Bizutage - A.C.B.,1 impasse aux cerfs,91150,ETAMPES,09 62 23 28 91,acb@acb-contre-bizutage.fr,"combattre le bizutage sous toutes ses formes,aide aux bizutés qui portent plainte et pour tous ceux qui s'élèvent contre le bizutage"
Association de Solidarité avec les Femmes Algériennes Démocrates - ASFAD,"94, Bd Masséna - 9, Villa d'Este - Résidence Mantoue",75013,PARIS, 01 53 79 18 73,asfad@free.fr,ccompagnement accueil et information : Oui Accompagnement juridique : OuiFormation des professionnels : Non Hébergement : NonTéléphone d'écoute ou Grand Danger : Oui
Centre d'Information sur les Droits des Femmes et des Familles de la Loire,"Maison des Associations de Tardy - 4, Bd Robert Maurice",42100, SAINT-ETIENNE,04 77 53 70 64,cidff42@orange.fr,"Information sur le droit, accompagnement à l'emploi, écoute, informe et accompagne les femmes victimes de violences"
Centre d'Information sur les Droits des Femmes et des Familles du Rhône - CIDFF,18 place Tolozan,69001,LYON,04 78 39 25 25,lyon.contact@cidffrhone.fr,Accompagnement accueil et information : Oui Accompagnement juridique : OuiFormation des professionnels : Oui Hébergement : NonTéléphone d'écoute ou Grand Danger : Non
Filactions (Réseau Solidarité Femmes),"6, rue des Fantasques",69001,LYON,04 78 30 63 5,filactions@gmail.com,"Filactions -membre de la FNSF- lutte contre les violences conjugales par la prévention, la formation et des actions publiques comme le festival ""brisons le silence"" contre les violences conjugales"
